Tm	Rec_ID	AvgTamb	AvgHamb	AvgGSi00	AvgTSi00	AvgSPN1_G	AvgSPN1_D	AvgWind_S	AvgWind_D	AvgAir_P	AvgTmod
2015-06-14 02:43:00	156550	27.054	92.062	-0.481	25.737	4.287	3.945	0.459	257.054	1003.445	26.087
2015-06-14 02:44:00	156551	27.090	92.197	-0.424	25.786	4.007	3.706	0.274	267.285	1003.456	26.095
2015-06-14 02:45:00	156552	27.114	91.916	-0.229	25.811	3.648	3.699	0.062	191.745	1003.491	26.090
2015-06-14 02:46:00	156553	27.120	91.695	-0.422	25.803	3.885	3.735	-0.070	232.343	1003.483	26.067
2015-06-14 02:47:00	156554	27.122	91.786	-0.568	25.769	4.168	3.809	-0.008	269.331	1003.440	26.039
2015-06-14 02:48:00	156555	27.123	91.917	-0.382	25.752	4.215	3.786	0.119	269.919	1003.386	26.027
2015-06-14 02:49:00	156556	27.124	91.966	-0.389	25.765	3.988	3.786	-0.054	216.472	1003.413	26.030
2015-06-14 02:50:00	156557	27.128	92.092	-0.295	25.772	3.794	3.567	0.143	213.778	1003.420	26.032
2015-06-14 02:51:00	156558	27.136	91.925	-0.326	25.786	3.892	3.626	0.003	205.377	1003.407	26.032
2015-06-14 02:52:00	156559	27.152	92.222	-0.363	25.791	3.734	3.698	0.093	253.454	1003.407	26.033
2015-06-14 02:53:00	156560	27.161	92.148	-0.374	25.784	3.769	3.523	0.037	238.896	1003.401	26.031
2015-06-14 02:54:00	156561	27.151	91.954	-0.390	25.756	3.991	3.763	0.138	268.984	1003.415	26.010
2015-06-14 02:55:00	156562	27.127	91.881	-0.383	25.729	4.127	3.814	-0.027	293.677	1003.430	25.976
2015-06-14 02:56:00	156563	27.114	92.032	-0.327	25.706	4.229	3.895	-0.018	274.191	1003.416	25.958
2015-06-14 02:57:00	156564	27.105	92.052	-0.239	25.685	4.264	4.003	0.105	269.800	1003.439	25.938
2015-06-14 02:58:00	156565	27.086	91.936	-0.314	25.661	4.246	4.073	0.433	268.986	1003.411	25.918
2015-06-14 02:59:00	156566	27.059	91.911	-0.245	25.642	4.181	3.900	0.135	269.832	1003.404	25.897
2015-06-14 03:00:00	156567	27.034	91.972	-0.351	25.620	4.260	4.102	0.010	268.126	1003.455	25.877
2015-06-14 03:01:00	156568	27.013	92.076	-0.440	25.594	4.181	4.111	-0.031	251.936	1003.427	25.851
2015-06-14 03:02:00	156569	26.994	92.105	-0.481	25.578	4.498	3.895	0.023	276.159	1003.448	25.823
2015-06-14 03:03:00	156570	26.970	92.052	-0.312	25.589	4.370	4.016	0.032	286.151	1003.456	25.804
2015-06-14 03:04:00	156571	26.951	92.189	-0.400	25.594	4.257	3.985	-0.028	262.965	1003.422	25.792
2015-06-14 03:05:00	156572	26.938	92.270	-0.228	25.586	4.332	4.198	-0.069	282.753	1003.481	25.779
2015-06-14 03:06:00	156573	26.922	92.282	-0.310	25.596	4.112	4.078	-0.008	255.328	1003.435	25.776
2015-06-14 03:07:00	156574	26.905	92.298	-0.344	25.610	3.974	3.745	-0.029	240.049	1003.429	25.791
2015-06-14 03:08:00	156575	26.896	92.335	-0.309	25.626	4.026	3.957	0.065	272.158	1003.439	25.806
2015-06-14 03:09:00	156576	26.889	92.397	-0.451	25.629	4.002	3.764	-0.004	265.768	1003.463	25.807
2015-06-14 03:10:00	156577	26.879	92.453	-0.438	25.611	4.164	3.938	-0.064	258.565	1003.452	25.798
2015-06-14 03:11:00	156578	26.866	92.421	-0.479	25.591	4.106	3.950	0.288	269.293	1003.396	25.791
2015-06-14 03:12:00	156579	26.849	92.527	-0.451	25.577	4.154	3.941	0.155	235.599	1003.376	25.788
2015-06-14 03:13:00	156580	26.834	92.639	-0.329	25.556	4.216	3.989	0.230	246.412	1003.383	25.780
2015-06-14 03:14:00	156581	26.812	92.703	-0.280	25.535	4.491	4.124	0.101	244.372	1003.346	25.767
2015-06-14 03:15:00	156582	26.791	92.775	-0.459	25.510	4.272	4.143	0.062	260.793	1003.369	25.752
2015-06-14 03:16:00	156583	26.770	92.850	-0.366	25.490	4.353	3.981	0.016	274.629	1003.327	25.734
2015-06-14 03:17:00	156584	26.752	92.964	-0.287	25.475	4.210	3.972	0.039	251.848	1003.345	25.717
2015-06-14 03:18:00	156585	26.737	93.035	-0.545	25.457	4.302	4.055	0.026	256.735	1003.321	25.702
2015-06-14 03:19:00	156586	26.721	93.102	-0.231	25.441	4.351	4.102	0.036	269.550	1003.374	25.684
2015-06-14 03:20:00	156587	26.705	93.142	-0.435	25.434	4.411	4.011	-0.049	292.539	1003.288	25.667
2015-06-14 03:21:00	156588	26.688	93.142	-0.324	25.419	4.142	4.028	-0.086	245.857	1003.301	25.655
2015-06-14 03:22:00	156589	26.672	93.171	-0.270	25.386	4.309	3.972	-0.045	96.532	1003.248	25.648
2015-06-14 03:23:00	156590	26.682	93.296	-0.490	25.401	4.093	3.837	-0.030	204.738	1003.302	25.666
2015-06-14 03:24:00	156591	26.698	93.189	-0.512	25.395	4.078	3.662	-0.128	237.120	1003.315	25.669
2015-06-14 03:25:00	156592	26.706	93.099	-0.310	25.376	4.146	3.748	-0.116	200.526	1003.269	25.658
2015-06-14 03:26:00	156593	26.711	93.126	-0.496	25.362	4.159	4.024	-0.040	268.457	1003.278	25.647
2015-06-14 03:27:00	156594	26.716	93.122	-0.466	25.362	4.007	3.944	0.015	267.543	1003.296	25.639
2015-06-14 03:28:00	156595	26.715	93.078	-0.344	25.372	4.043	3.997	0.280	271.838	1003.248	25.630
2015-06-14 03:29:00	156596	26.707	93.102	-0.427	25.385	3.961	3.917	0.429	267.656	1003.235	25.624
2015-06-14 03:30:00	156597	26.699	93.204	-0.316	25.386	4.127	3.587	0.405	263.304	1003.225	25.621
2015-06-14 03:31:00	156598	26.692	93.248	-0.526	25.378	4.059	4.001	0.369	264.164	1003.196	25.615
2015-06-14 03:32:00	156599	26.681	93.269	-0.593	25.369	4.055	3.857	0.338	263.487	1003.170	25.609
2015-06-14 03:33:00	156600	26.674	93.346	-0.255	25.355	4.135	3.993	0.241	261.821	1003.107	25.601
2015-06-14 03:34:00	156601	26.667	93.396	-0.476	25.335	4.119	4.007	0.285	260.946	1003.139	25.585
2015-06-14 03:35:00	156602	26.656	93.435	-0.371	25.320	4.283	3.985	0.344	274.235	1003.120	25.571
2015-06-14 03:36:00	156603	26.646	93.481	-0.373	25.320	4.204	4.073	0.307	274.855	1003.111	25.562
2015-06-14 03:37:00	156604	26.651	93.769	-0.413	25.321	4.256	3.964	0.228	285.419	1003.072	25.561
2015-06-14 03:38:00	156605	26.645	93.498	-0.591	25.323	3.991	3.686	0.034	229.448	1003.078	25.554
2015-06-14 03:39:00	156606	26.639	93.540	-0.516	25.312	4.014	3.818	0.158	273.040	1003.050	25.542
2015-06-14 03:40:00	156607	26.639	93.604	-0.599	25.296	4.128	3.877	0.228	264.932	1003.023	25.532
2015-06-14 03:41:00	156608	26.641	93.702	-0.388	25.279	4.110	3.912	0.060	268.409	1003.006	25.529
2015-06-14 03:42:00	156609	26.638	93.692	-0.327	25.253	4.091	3.879	-0.024	246.663	1002.994	25.524
2015-06-14 03:43:00	156610	26.640	93.803	-0.576	25.234	4.306	3.804	-0.013	281.691	1002.990	25.523
2015-06-14 03:44:00	156611	26.647	93.855	-0.449	25.222	4.134	3.836	-0.014	245.721	1002.924	25.534
2015-06-14 03:45:00	156612	26.657	93.772	-0.418	25.221	4.054	3.688	-0.094	162.568	1002.919	25.543
2015-06-14 03:46:00	156613	26.658	93.555	-0.151	25.217	4.110	3.611	-0.087	245.166	1002.953	25.534
2015-06-14 03:47:00	156614	26.671	93.620	-0.253	25.210	3.708	3.715	-0.034	190.070	1002.888	25.537
2015-06-14 03:48:00	156615	26.691	93.628	-0.389	25.214	3.608	3.632	0.020	226.091	1002.872	25.542
2015-06-14 03:49:00	156616	26.720	93.759	-0.489	25.240	3.501	3.446	0.035	187.430	1002.871	25.561
2015-06-14 03:50:00	156617	26.750	93.651	-0.418	25.259	3.495	3.413	0.021	268.166	1002.844	25.583
2015-06-14 03:51:00	156618	26.776	93.590	-0.385	25.270	3.340	3.448	-0.045	273.609	1002.831	25.596
